Year,TimePeriod,FarmgatePrices
2010,Q1,4.2
2010,Q2,14.11333333
2010,Q3,29.88666667
2010,Q4,18.81333333
2011,Q1,14.68333333
2011,Q2,6.01
2011,Q3,19.78333333
2011,Q4,30.45666667
2012,Q1,7.803333333
2012,Q2,22.51
2012,Q3,15.44666667
2012,Q4,11.16
2013,Q1,9.146666667
2013,Q2,17.77333333
2013,Q3,24.31333333
2013,Q4,17.55666667
2014,Q1,4.9
2014,Q2,4.723333333
2014,Q3,20.23666667
2014,Q4,9.116666667
2015,Q1,5.046666667
2015,Q2,10.91333333
2015,Q3,15.77666667
2015,Q4,31.69
2016,Q1,14.62333333
2016,Q2,6.356666667
2016,Q3,18.9
2016,Q4,17.70333333
2017,Q1,15.70666667
2017,Q2,10.65
2017,Q3,13.84
2017,Q4,23.03333333
2018,Q1,13.35
2018,Q2,17.34666667
2018,Q3,37.27
2018,Q4,25.86666667
2019,Q1,10.44
2019,Q2,15.92333333
2019,Q3,25.35333333
2019,Q4,20.36666667
2020,Q1,16.18
2020,Q2,11.6
2020,Q3,19.67
2020,Q4,38.80333333
2021,Q1,36.70666667
2021,Q2,10.99
2021,Q3,25.59666667
2021,Q4,15.73
2022,Q1,26.53
2022,Q2,29.80333333
2022,Q3,18.51
2022,Q4,36.18
