Year,TimePeriod,AreaHarvested
2010,Quarter 1,35.29066711
2010,Quarter 2,274.7093329
2010,Quarter 3,175.9310812
2010,Quarter 4,156.3189188
2011,Quarter 1,35.80442804
2011,Quarter 2,277.195572
2011,Quarter 3,226.2636135
2011,Quarter 4,123.7363865
2012,Quarter 1,33.77533784
2012,Quarter 2,276.2246622
2012,Quarter 3,207.0295973
2012,Quarter 4,134.9704027
2013,Quarter 1,39.40199716
2013,Quarter 2,270.5980028
2013,Quarter 3,215.317915
2013,Quarter 4,120.682085
2014,Quarter 1,42.56809654
2014,Quarter 2,275.4319035
2014,Quarter 3,206.2702766
2014,Quarter 4,133.7297234
2015,Quarter 1,45.85502913
2015,Quarter 2,304.1449709
2015,Quarter 3,151.5040899
2015,Quarter 4,89.49591005
2016,Quarter 1,49.54586874
2016,Quarter 2,362.4541313
2016,Quarter 3,149.8408085
2016,Quarter 4,87.15919152
2017,Quarter 1,53.52517837
2017,Quarter 2,388.4748216
2017,Quarter 3,105.8982499
2017,Quarter 4,67.1017501
2018,Quarter 1,54.48147118
2018,Quarter 2,389.5185288
2018,Quarter 3,106.5141724
2018,Quarter 4,69.48582758
2019,Quarter 1,55.23188734
2019,Quarter 2,391.7681127
2019,Quarter 3,108.1063194
2019,Quarter 4,69.89368059
2020,Quarter 1,54.84694514
2020,Quarter 2,437.1530549
2020,Quarter 3,118.3978115
2020,Quarter 4,61.53218853
2021,Quarter 1,53.60665761
2021,Quarter 2,436.3633424
2021,Quarter 3,112.2803319
2021,Quarter 4,68.21966805
2022,Quarter 1,51.31617762
2022,Quarter 2,434.6838224
2022,Quarter 3,116.6561382
2022,Quarter 4,65.34386183
