Year,TimePeriod,FarmgatePrices
2010,Quarter 1,4.2
2010,Quarter 2,14.11333333
2010,Quarter 3,29.88666667
2010,Quarter 4,18.81333333
2011,Quarter 1,14.68333333
2011,Quarter 2,6.01
2011,Quarter 3,19.78333333
2011,Quarter 4,30.45666667
2012,Quarter 1,7.803333333
2012,Quarter 2,22.51
2012,Quarter 3,15.44666667
2012,Quarter 4,11.16
2013,Quarter 1,9.146666667
2013,Quarter 2,17.77333333
2013,Quarter 3,24.31333333
2013,Quarter 4,17.55666667
2014,Quarter 1,4.9
2014,Quarter 2,4.723333333
2014,Quarter 3,20.23666667
2014,Quarter 4,9.116666667
2015,Quarter 1,5.046666667
2015,Quarter 2,10.91333333
2015,Quarter 3,15.77666667
2015,Quarter 4,31.69
2016,Quarter 1,14.62333333
2016,Quarter 2,6.356666667
2016,Quarter 3,18.9
2016,Quarter 4,17.70333333
2017,Quarter 1,15.70666667
2017,Quarter 2,10.65
2017,Quarter 3,13.84
2017,Quarter 4,23.03333333
2018,Quarter 1,13.35
2018,Quarter 2,17.34666667
2018,Quarter 3,37.27
2018,Quarter 4,25.86666667
2019,Quarter 1,10.44
2019,Quarter 2,15.92333333
2019,Quarter 3,25.35333333
2019,Quarter 4,20.36666667
2020,Quarter 1,16.18
2020,Quarter 2,11.6
2020,Quarter 3,19.67
2020,Quarter 4,38.80333333
2021,Quarter 1,36.70666667
2021,Quarter 2,10.99
2021,Quarter 3,25.59666667
2021,Quarter 4,15.73
2022,Quarter 1,26.53
2022,Quarter 2,29.80333333
2022,Quarter 3,18.51
2022,Quarter 4,36.18
