Year,TimePeriod,VolumeProduction
2010,Quarter 1,757.85
2010,Quarter 2,5899.25
2010,Quarter 3,900.37
2010,Quarter 4,800
2011,Quarter 1,775
2011,Quarter 2,6000
2011,Quarter 3,926
2011,Quarter 4,506.4
2012,Quarter 1,645
2012,Quarter 2,5275
2012,Quarter 3,922.22
2012,Quarter 4,601.23
2013,Quarter 1,765.23
2013,Quarter 2,5255.31
2013,Quarter 3,910.5
2013,Quarter 4,510.32
2014,Quarter 1,841.25
2014,Quarter 2,5443.21
2014,Quarter 3,925.65
2014,Quarter 4,600.12
2015,Quarter 1,889.45
2015,Quarter 2,5899.5
2015,Quarter 3,939.91
2015,Quarter 4,555.22
2016,Quarter 1,873.65
2016,Quarter 2,6391.21
2016,Quarter 3,888.36
2016,Quarter 4,516.74
2017,Quarter 1,881.55
2017,Quarter 2,6398.11
2017,Quarter 3,917.44
2017,Quarter 4,581.33
2018,Quarter 1,908.4
2018,Quarter 2,6494.66
2018,Quarter 3,927.92
2018,Quarter 4,605.34
2019,Quarter 1,921.73
2019,Quarter 2,6537.97
2019,Quarter 3,947.23
2019,Quarter 4,612.41
2020,Quarter 1,915.07
2020,Quarter 2,7293.49
2020,Quarter 3,990.25
2020,Quarter 4,514.64
2021,Quarter 1,864.05
2021,Quarter 2,7033.45
2021,Quarter 3,945.22
2021,Quarter 4,574.3
2022,Quarter 1,822.97
2022,Quarter 2,6971.13
2022,Quarter 3,988.68
2022,Quarter 4,553.8
