Year,TimePeriod,AreaHarvested
2010,Q1,35.29066711
2010,Q2,274.7093329
2010,Q3,175.9310812
2010,Q4,156.3189188
2011,Q1,35.80442804
2011,Q2,277.195572
2011,Q3,226.2636135
2011,Q4,123.7363865
2012,Q1,33.77533784
2012,Q2,276.2246622
2012,Q3,207.0295973
2012,Q4,134.9704027
2013,Q1,39.40199716
2013,Q2,270.5980028
2013,Q3,215.317915
2013,Q4,120.682085
2014,Q1,42.56809654
2014,Q2,275.4319035
2014,Q3,206.2702766
2014,Q4,133.7297234
2015,Q1,45.85502913
2015,Q2,304.1449709
2015,Q3,151.5040899
2015,Q4,89.49591005
2016,Q1,49.54586874
2016,Q2,362.4541313
2016,Q3,149.8408085
2016,Q4,87.15919152
2017,Q1,53.52517837
2017,Q2,388.4748216
2017,Q3,105.8982499
2017,Q4,67.1017501
2018,Q1,54.48147118
2018,Q2,389.5185288
2018,Q3,106.5141724
2018,Q4,69.48582758
2019,Q1,55.23188734
2019,Q2,391.7681127
2019,Q3,108.1063194
2019,Q4,69.89368059
2020,Q1,54.84694514
2020,Q2,437.1530549
2020,Q3,118.3978115
2020,Q4,61.53218853
2021,Q1,53.60665761
2021,Q2,436.3633424
2021,Q3,112.2803319
2021,Q4,68.21966805
2022,Q1,51.31617762
2022,Q2,434.6838224
2022,Q3,116.6561382
2022,Q4,65.34386183
